Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
-1.13119	0.55297	1.07496	0.713824	0.183137	-0.847062	0.183191	-0.553415	0.516363	0.207247	-0.13617	-0.757006
-0.51165	0.406362	1.1902	0.435529	-0.411433	-1.27956	0.0469149	-0.241046	0.739382	0.0524261	0.150456	-0.652902
-0.358141	0.4944	1.41462	0.371407	-0.0754063	-1.46047	0.0199731	-0.10623	0.642089	-0.0290924	-0.371719	-0.6136
-0.396858	1.28582	0.888537	0.812185	-0.869412	-1.12474	-0.1727	0.171982	0.679389	-0.213569	-0.541911	-0.448252
-0.133094	0.660309	1.16135	0.311188	-0.490405	-1.27956	-0.311343	0.259852	0.649537	0.194267	-0.514817	-0.534557
-0.660302	-1.36035	0.817111	0.646284	1.25381	-1.09099	0.119745	0.209974	0.679389	-0.0594136	-0.24288	-0.421553
-1.08681	0.658658	1.07496	0.666599	-1.06794	-1.11799	-0.165434	0.32905	0.642089	0.578772	0.0064626	-0.600467
0.245086	1.06315	1.16856	-0.35292	-0.39276	-1.1854	0.365939	-0.271465	0.686867	-0.202355	-0.450985	-0.70508
-0.0444571	0.601259	1.42188	-0.165416	-1.12196	-1.28628	-0.564078	0.410207	0.32004	0.701383	0.00657082	-0.434911
-0.783521	1.22724	0.42694	0.913124	-1.3517	-0.450487	0.206769	0.140743	0.709337	-0.265635	-0.208247	-0.718085
0.69206	0.343527	1.26966	-0.411884	0.317327	-1.46715	-0.383663	-0.0809363	0.634647	0.077513	-0.674216	-0.414868
0.403262	0.259314	1.37832	-0.638977	-0.154025	-1.4471	0.0268351	0.0583106	0.731862	0.214391	-0.230862	-0.692059
0.92855	-0.565084	0.938626	-0.355487	0.980304	-0.93534	-0.280093	-0.215078	0.716839	-0.231125	-0.169834	-0.711584
1.2624	0.910412	1.00314	-1.27621	-0.854089	-0.942122	0.472636	0.144809	0.553168	-0.486661	-0.345503	-0.567563
0.998788	0.0033931	1.07496	-0.980529	-0.295042	-1.03693	0.178627	0.271869	0.62721	-0.208003	-0.169834	-0.711584
0.000366107	0.516398	1.45823	-0.0408462	-0.448041	-1.50054	0.00682136	-0.0437337	0.777075	0.0461878	-0.0100971	-0.744048
-0.408369	0.436142	1.87544	0.367353	-0.521367	-1.83943	0.219114	0.165402	0.664451	-0.115591	-0.186476	-0.70508
0.316793	0.0465214	1.71378	-0.203567	-0.132859	-1.83943	-0.0605719	-0.255907	0.822509	0.0231861	0.314374	-0.724582
0.338532	-0.232807	1.62594	-0.431077	0.316286	-1.58057	-0.00645104	0.46334	0.545796	0.0880056	-0.624445	-0.574152
0.382325	0.602782	1.50918	-0.871909	0.517594	-1.2056	0.290285	-0.699358	0.377792	0.197791	-0.420113	-0.652902
-0.462774	0.885819	0.867093	0.273683	-1.13858	-0.779005	0.317949	0.366901	0.642089	-0.115215	-0.141929	-0.737563
1.55574	-0.546982	1.12533	-1.61294	0.64194	-0.901413	0.166022	-0.283501	0.664451	-0.12472	0.0441069	-0.898534
1.15026	0.192988	0.960116	-1.09129	-0.156788	-0.833461	-0.0197717	-0.131562	0.649537	-0.0747598	0.116078	-0.750529
-0.0219994	0.493465	1.34931	0.166287	-0.253736	-1.24596	-0.193801	-0.145492	0.739382	0.10851	-0.189394	-0.840858
0.333032	-1.22208	1.06058	0.146485	0.957915	-1.0234	-0.208059	0.416222	0.465076	-0.282148	-0.273594	-0.541166
-0.512293	0.597987	1.23352	0.563488	-0.573057	-1.05721	-0.310647	0.0325062	0.62721	0.240835	-0.1138	-0.795787
-0.490826	0.194849	1.29136	0.5991	-0.429587	-1.40696	0.23204	-0.352522	0.649537	-0.270567	0.494194	-0.534557
-0.268911	0.345482	1.4655	-0.103178	-0.627994	-1.31313	0.219771	0.362486	0.694351	0.114437	-0.17342	-0.821565
-1.26307	-0.224949	0.44105	1.24853	0.144319	-0.567189	-0.165187	0.189981	0.62721	0.1825	-0.139241	-0.534557
-1.94074	0.398122	0.483414	1.20478	-0.117554	-0.608285	0.273845	0.0964305	0.724348	0.415928	-0.48454	-0.580737
0.880513	1.32403	0.788583	-0.356328	-1.01618	-0.85386	-0.0663067	-0.214113	0.671917	-0.449691	-0.166057	-0.607035
0.934173	0.427035	1.14694	-0.872079	0.0625442	-1.19887	-0.013244	-0.234322	0.724348	0.0350283	-0.193246	-0.639817
0.314987	-0.531806	1.51647	-0.165063	1.0668	-1.36008	0.0858057	-0.60818	0.597523	-0.161025	-0.103278	-0.757006
1.3866	-0.457818	0.788583	-1.53669	0.524759	-0.731287	-0.218734	0.222139	0.656991	0.311429	-0.345159	-0.737563
0.557016	-0.357211	1.19742	-0.455133	0.279299	-1.31313	-0.135706	-0.633623	0.406798	0.0301354	0.687711	-0.327561
0.846476	-0.27236	1.19742	-1.22353	0.299605	-1.24596	0.188469	-0.0630597	0.799764	0.143578	-0.00459011	-0.782876
-0.33321	0.638985	1.15414	-0.165449	-0.687834	-1.27956	-0.0601605	0.122241	0.754441	0.599389	-0.0822571	-0.646361
-1.57545	0.253557	0.603734	1.56369	-0.43956	-0.61513	-0.180292	0.00102181	0.731862	0.161737	0.0888805	-0.724582
-0.490826	0.131038	1.29136	0.474206	-0.0949909	-1.48051	0.405807	0.28153	0.523713	-0.413578	-0.307513	-0.347775
0.134948	0.388075	1.45096	-0.369304	-0.172935	-1.59389	-0.172571	0.070616	0.671917	0.430483	-0.442825	-0.514703
1.40977	-0.584078	0.817111	-0.871889	0.692351	-0.374766	-0.476135	-0.0885891	0.0924116	-0.0409832	0.0232606	-0.56097
-0.0220829	0.559499	1.48006	-0.968195	-0.0164807	-1.47383	0.548551	-0.135846	0.501682	0.352667	-0.502939	-0.547772
-0.541382	0.153987	1.66983	0.491387	-0.113826	-1.72018	0.499257	0.182459	0.560546	-0.543031	-0.269062	-0.501447
1.14622	0.381248	0.838523	-0.812617	-0.0961067	-1.07748	0.00672973	0.152415	0.642089	-0.262631	-0.596391	-0.388083
-0.0222754	-0.924204	1.77982	-0.285346	0.800171	-1.81296	0.317005	-0.198096	0.822509	0.0802889	0.180965	-0.802238
